20
C	A	30	41	7400	60	H	H	-0.0051	-0.4339
C	A	38	59	5400	57	H	H	-0.0051	-0.4339
B	D	25	50	7600	21	H	L	-0.0004	-0.0012
C	A	26	56	5200	69	H	L	-0.0004	-0.0012
A	D	37	48	5900	99	L	H	-0.0052	-0.4787
C	A	34	56	2300	74	L	H	-0.0052	-0.4787
D	C	36	46	5400	38	H	H	-0.0051	-0.4339
C	D	40	57	4300	60	L	H	-0.0052	-0.4787
B	D	32	46	7600	33	L	H	-0.0052	-0.4787
B	C	35	45	6600	92	H	L	-0.0004	-0.0012
C	B	38	45	4200	69	H	L	-0.0004	-0.0012
C	B	25	61	7500	81	L	L	-0.0002	-0.0023
D	B	30	45	6800	58	L	H	-0.0052	-0.4787
D	B	23	32	5900	40	L	L	-0.0002	-0.0023
B	D	25	48	8200	53	H	H	-0.0051	-0.4339
A	D	36	54	8200	34	L	L	-0.0002	-0.0023
B	C	16	30	9600	49	L	L	-0.0002	-0.0023
A	C	6	45	9200	98	L	L	-0.0002	-0.0023
C	D	18	51	4000	35	H	L	-0.0004	-0.0012
C	A	24	45	8900	69	H	H	-0.0051	-0.4339
