40
B	D	20	49	250	250	L	L	-0.002	-0.0023
A	D	5	37	580	580	L	L	-0.002	-0.0023
C	A	11	60	770	770	L	L	-0.002	-0.0023
D	A	19	45	840	840	L	H	-0.0052	-0.4787
B	D	8	27	240	240	H	L	-0.0004	-0.0012
C	D	3	59	300	300	L	H	-0.0052	-0.4787
D	C	12	34	340	340	L	H	-0.0052	-0.4787
D	A	7	47	750	750	L	L	-0.002	-0.0023
D	A	9	34	990	990	L	L	-0.002	-0.0023
B	A	9	54	580	580	L	H	-0.0052	-0.4787
B	A	16	47	610	610	L	L	-0.002	-0.0023
B	A	18	27	620	620	H	H	-0.0051	-0.4339
B	A	9	53	710	710	L	L	-0.002	-0.0023
B	D	16	40	870	870	L	H	-0.0052	-0.4787
D	C	16	29	410	410	H	L	-0.0004	-0.0012
D	B	5	51	890	890	L	L	-0.002	-0.0023
C	D	13	56	410	410	L	L	-0.002	-0.0023
D	A	14	27	200	200	H	L	-0.0004	-0.0012
A	D	12	30	390	390	H	H	-0.0051	-0.4339
D	B	5	54	750	750	L	L	-0.002	-0.0023
D	B	9	54	740	740	L	L	-0.002	-0.0023
B	C	8	45	990	990	L	H	-0.0052	-0.4787
B	C	19	55	230	230	L	H	-0.0052	-0.4787
C	B	8	43	310	310	L	H	-0.0052	-0.4787
A	B	6	55	380	380	L	L	-0.002	-0.0023
D	A	12	36	300	300	L	L	-0.002	-0.0023
B	D	7	31	590	590	L	L	-0.002	-0.0023
D	B	18	38	540	540	H	L	-0.0004	-0.0012
C	A	1	38	740	740	L	L	-0.002	-0.0023
D	B	7	29	740	740	L	H	-0.0052	-0.4787
A	B	9	48	780	780	L	L	-0.002	-0.0023
B	C	10	54	570	570	L	L	-0.002	-0.0023
D	C	9	50	760	760	L	L	-0.002	-0.0023
C	B	9	55	770	770	L	L	-0.002	-0.0023
D	A	18	48	710	710	L	H	-0.0052	-0.4787
D	C	19	29	960	960	H	H	-0.0051	-0.4339
A	C	11	45	290	290	L	L	-0.002	-0.0023
C	B	20	36	500	500	H	H	-0.0051	-0.4339
C	A	18	28	480	480	H	L	-0.0004	-0.0012
A	B	7	53	950	950	L	H	-0.0052	-0.4787
