30
A	F	16	44	970	970	L	L	-0.002	-0.0023
A	E	3	34	690	690	L	L	-0.002	-0.0023
C	E	5	32	320	320	L	L	-0.002	-0.0023
B	F	12	52	730	730	L	L	-0.002	-0.0023
B	C	5	58	420	420	L	H	-0.0052	-0.4787
C	D	10	35	420	420	L	H	-0.0052	-0.4787
D	C	11	52	480	480	L	H	-0.0052	-0.4787
E	A	11	45	510	510	L	H	-0.0052	-0.4787
C	D	13	35	690	690	L	L	-0.002	-0.0023
F	B	17	42	860	860	L	L	-0.002	-0.0023
E	D	3	35	820	820	L	L	-0.002	-0.0023
D	F	5	51	890	890	L	L	-0.002	-0.0023
C	E	13	56	410	410	L	L	-0.002	-0.0023
D	A	14	27	200	200	H	L	-0.0004	-0.0012
E	A	2	47	310	310	L	H	-0.0052	-0.4787
A	E	15	56	370	370	L	L	-0.002	-0.0023
D	E	15	46	530	530	L	L	-0.002	-0.0023
D	F	11	58	860	860	L	H	-0.0052	-0.4787
F	B	11	27	450	450	H	L	-0.0004	-0.0012
E	F	16	26	340	340	H	H	-0.0051	-0.4339
D	B	10	30	250	250	H	L	-0.0004	-0.0012
E	A	10	35	810	810	L	H	-0.0052	-0.4787
C	E	13	37	640	640	L	H	-0.0052	-0.4787
A	E	7	52	460	460	L	H	-0.0052	-0.4787
F	C	15	58	740	740	L	L	-0.002	-0.0023
F	E	7	42	960	960	L	L	-0.002	-0.0023
A	F	7	52	980	980	L	L	-0.002	-0.0023
D	B	3	52	310	310	L	H	-0.0052	-0.4787
C	F	12	54	740	740	L	H	-0.0052	-0.4787
F	C	15	43	840	840	L	L	-0.002	-0.0023
