100
A	F	3	34	330	330	L	L	-0.002	-0.0023
H	J	5	54	750	750	L	L	-0.002	-0.0023
H	F	9	54	740	740	L	L	-0.002	-0.0023
I	J	5	40	610	610	L	L	-0.002	-0.0023
A	D	19	55	230	230	L	H	-0.0052	-0.4787
E	G	8	43	310	310	L	H	-0.0052	-0.4787
J	I	4	43	400	400	L	L	-0.002	-0.0023
H	C	12	50	440	440	L	L	-0.002	-0.0023
C	B	19	37	740	740	H	H	-0.0051	-0.4339
B	E	15	58	740	740	L	L	-0.002	-0.0023
I	D	9	48	340	340	L	L	-0.002	-0.0023
A	D	14	51	680	680	L	L	-0.002	-0.0023
D	B	14	30	270	270	H	L	-0.0004	-0.0012
E	F	15	52	440	440	L	L	-0.002	-0.0023
E	H	10	57	830	830	L	L	-0.002	-0.0023
E	G	15	46	640	640	L	H	-0.0052	-0.4787
H	J	16	55	300	300	L	L	-0.002	-0.0023
I	F	13	35	970	970	L	L	-0.002	-0.0023
J	B	20	44	220	220	L	L	-0.002	-0.0023
F	J	3	50	980	980	L	L	-0.002	-0.0023
E	C	8	35	590	590	L	H	-0.0052	-0.4787
I	A	8	29	730	730	L	H	-0.0052	-0.4787
J	H	19	26	700	700	H	H	-0.0051	-0.4339
F	D	17	45	260	260	L	L	-0.002	-0.0023
J	A	2	48	700	700	L	L	-0.002	-0.0023
J	C	6	32	970	970	L	L	-0.002	-0.0023
C	A	18	57	640	640	L	H	-0.0052	-0.4787
G	H	19	47	270	270	L	H	-0.0052	-0.4787
H	J	20	53	760	760	L	L	-0.002	-0.0023
C	F	14	46	910	910	L	L	-0.002	-0.0023
H	G	7	31	750	750	L	L	-0.002	-0.0023
C	A	6	37	920	920	L	L	-0.002	-0.0023
F	I	13	28	970	970	H	H	-0.0051	-0.4339
C	E	8	28	940	940	H	H	-0.0051	-0.4339
B	F	6	44	250	250	L	L	-0.002	-0.0023
J	G	3	47	440	440	L	L	-0.002	-0.0023
C	J	13	54	620	620	L	H	-0.0052	-0.4787
C	J	19	51	390	390	L	L	-0.002	-0.0023
G	B	13	32	500	500	H	H	-0.0051	-0.4339
G	E	10	59	320	320	L	L	-0.002	-0.0023
I	H	20	40	880	880	H	H	-0.0051	-0.4339
A	C	13	39	320	320	L	L	-0.002	-0.0023
H	B	19	50	940	940	L	H	-0.0052	-0.4787
E	F	3	37	990	990	L	L	-0.002	-0.0023
I	A	3	50	240	240	L	H	-0.0052	-0.4787
G	F	6	28	650	650	L	L	-0.002	-0.0023
H	C	1	38	360	360	L	H	-0.0052	-0.4787
D	J	8	49	980	980	L	L	-0.002	-0.0023
J	G	18	26	360	360	H	H	-0.0051	-0.4339
B	A	2	36	350	350	L	L	-0.002	-0.0023
G	B	1	52	430	430	L	L	-0.002	-0.0023
G	A	18	35	260	260	H	L	-0.0004	-0.0012
G	H	15	46	430	430	L	H	-0.0052	-0.4787
G	H	16	48	290	290	L	H	-0.0052	-0.4787
E	J	6	30	780	780	L	H	-0.0052	-0.4787
C	E	3	58	590	590	L	H	-0.0052	-0.4787
B	I	4	43	990	990	L	L	-0.002	-0.0023
A	E	17	52	850	850	L	H	-0.0052	-0.4787
A	J	20	28	470	470	H	L	-0.0004	-0.0012
A	D	5	44	730	730	L	H	-0.0052	-0.4787
A	F	17	32	810	810	H	H	-0.0051	-0.4339
H	J	6	34	230	230	L	L	-0.002	-0.0023
J	C	15	36	630	630	L	L	-0.002	-0.0023
H	C	2	56	950	950	L	L	-0.002	-0.0023
C	H	9	38	830	830	L	L	-0.002	-0.0023
F	I	13	34	600	600	L	H	-0.0052	-0.4787
C	A	15	28	620	620	H	L	-0.0004	-0.0012
I	A	13	30	240	240	H	H	-0.0051	-0.4339
A	J	12	52	480	480	L	L	-0.002	-0.0023
H	B	4	29	660	660	L	L	-0.002	-0.0023
G	E	6	33	710	710	L	L	-0.002	-0.0023
I	D	8	34	680	680	L	H	-0.0052	-0.4787
I	H	13	37	280	280	L	L	-0.002	-0.0023
C	I	5	29	700	700	L	L	-0.002	-0.0023
B	D	1	54	420	420	L	L	-0.002	-0.0023
C	F	13	38	510	510	L	L	-0.002	-0.0023
E	J	5	28	820	820	L	L	-0.002	-0.0023
F	J	1	45	570	570	L	L	-0.002	-0.0023
J	A	14	43	780	780	L	H	-0.0052	-0.4787
B	G	14	30	350	350	H	L	-0.0004	-0.0012
C	B	13	59	300	300	L	H	-0.0052	-0.4787
I	J	9	55	300	300	L	L	-0.002	-0.0023
B	G	16	39	700	700	L	H	-0.0052	-0.4787
H	J	19	56	730	730	L	H	-0.0052	-0.4787
I	C	15	35	490	490	H	L	-0.0004	-0.0012
H	J	13	44	900	900	L	L	-0.002	-0.0023
J	A	17	59	670	670	L	L	-0.002	-0.0023
H	E	6	40	480	480	L	L	-0.002	-0.0023
J	C	17	26	890	890	H	L	-0.0004	-0.0012
A	J	6	51	590	590	L	H	-0.0052	-0.4787
D	A	6	54	600	600	L	H	-0.0052	-0.4787
I	D	2	26	380	380	L	L	-0.002	-0.0023
H	J	12	26	730	730	H	L	-0.0004	-0.0012
F	E	1	34	520	520	L	H	-0.0052	-0.4787
C	D	4	57	800	800	L	H	-0.0052	-0.4787
F	J	18	52	620	620	L	L	-0.002	-0.0023
E	G	2	31	810	810	L	L	-0.002	-0.0023
F	H	14	55	650	650	L	H	-0.0052	-0.4787
C	D	18	45	560	560	L	H	-0.0052	-0.4787
A	G	2	35	400	400	L	L	-0.002	-0.0023
