120
H	K	18	38	670	860	H	L	-0.0004	-0.0012
F	B	1	38	770	880	L	L	-0.002	-0.0023
G	L	7	29	990	640	L	L	-0.002	-0.0023
B	A	12	41	730	680	L	L	-0.002	-0.0023
G	D	10	54	940	470	L	H	-0.0052	-0.4787
I	H	17	41	750	660	L	L	-0.002	-0.0023
K	F	12	42	800	670	L	L	-0.002	-0.0023
H	J	16	30	940	790	H	L	-0.0004	-0.0012
L	F	13	35	880	630	L	L	-0.002	-0.0023
L	J	3	44	510	850	L	L	-0.002	-0.0023
F	K	11	29	970	600	H	L	-0.0004	-0.0012
J	F	10	36	650	310	L	H	-0.0052	-0.4787
E	B	18	28	640	820	H	L	-0.0004	-0.0012
L	B	14	37	860	830	L	L	-0.002	-0.0023
H	J	1	50	620	530	L	L	-0.002	-0.0023
J	D	17	45	530	940	L	L	-0.002	-0.0023
L	J	2	27	860	560	L	L	-0.002	-0.0023
G	F	20	35	990	300	H	H	-0.0051	-0.4339
B	J	12	35	510	780	L	L	-0.002	-0.0023
I	F	3	50	780	830	L	L	-0.002	-0.0023
F	A	5	53	950	700	L	L	-0.002	-0.0023
J	H	15	36	720	640	L	L	-0.002	-0.0023
F	I	17	54	740	340	L	H	-0.0052	-0.4787
B	G	5	27	610	910	L	L	-0.002	-0.0023
K	D	19	52	730	810	L	L	-0.002	-0.0023
G	A	20	28	600	490	H	H	-0.0051	-0.4339
D	A	19	36	560	910	H	L	-0.0004	-0.0012
J	F	6	44	520	600	L	L	-0.002	-0.0023
J	G	3	47	980	340	L	H	-0.0052	-0.4787
H	C	6	50	980	690	L	L	-0.002	-0.0023
F	A	6	36	870	630	L	L	-0.002	-0.0023
C	I	13	31	750	250	H	H	-0.0051	-0.4339
D	B	14	44	960	470	L	H	-0.0052	-0.4787
I	K	4	47	830	890	L	L	-0.002	-0.0023
H	J	8	59	680	110	L	H	-0.0052	-0.4787
K	C	13	39	560	750	L	L	-0.002	-0.0023
K	H	4	50	870	370	L	H	-0.0052	-0.4787
E	F	3	37	890	810	L	L	-0.002	-0.0023
I	A	3	50	520	120	L	H	-0.0052	-0.4787
K	G	11	36	960	160	L	H	-0.0052	-0.4787
F	L	16	35	510	360	H	H	-0.0051	-0.4339
C	E	7	40	650	590	L	L	-0.002	-0.0023
J	I	19	51	850	130	L	H	-0.0052	-0.4787
C	A	4	26	530	970	L	L	-0.002	-0.0023
C	B	13	29	500	940	H	L	-0.0004	-0.0012
G	K	6	51	530	800	L	L	-0.002	-0.0023
C	A	13	54	790	520	L	L	-0.002	-0.0023
C	A	13	54	810	560	L	L	-0.002	-0.0023
K	B	5	41	660	320	L	H	-0.0052	-0.4787
B	H	1	34	670	200	L	H	-0.0052	-0.4787
I	E	5	31	840	250	L	H	-0.0052	-0.4787
E	J	11	25	860	430	H	H	-0.0051	-0.4339
K	I	14	57	590	170	L	H	-0.0052	-0.4787
K	A	20	28	910	370	H	H	-0.0051	-0.4339
I	A	7	34	690	980	L	L	-0.002	-0.0023
G	C	1	48	830	950	L	L	-0.002	-0.0023
L	B	16	44	790	690	L	L	-0.002	-0.0023
C	K	5	26	750	870	L	L	-0.002	-0.0023
C	H	6	46	820	950	L	L	-0.002	-0.0023
H	C	2	56	870	590	L	L	-0.002	-0.0023
C	H	9	38	810	760	L	L	-0.002	-0.0023
F	K	19	60	740	290	L	H	-0.0052	-0.4787
K	F	11	33	530	680	L	L	-0.002	-0.0023
A	K	11	58	830	160	L	H	-0.0052	-0.4787
G	J	3	27	580	140	L	H	-0.0052	-0.4787
A	F	14	39	920	710	L	L	-0.002	-0.0023
J	K	3	31	540	560	L	L	-0.002	-0.0023
H	G	10	36	970	260	L	H	-0.0052	-0.4787
K	G	18	59	620	970	L	L	-0.002	-0.0023
L	D	5	49	630	750	L	L	-0.002	-0.0023
J	H	13	37	540	780	L	L	-0.002	-0.0023
L	C	20	59	580	190	L	H	-0.0052	-0.4787
K	G	15	30	630	110	H	H	-0.0051	-0.4339
H	C	6	48	740	900	L	L	-0.002	-0.0023
D	L	11	44	870	430	L	H	-0.0052	-0.4787
C	A	16	51	720	530	L	L	-0.002	-0.0023
A	F	10	57	990	990	L	L	-0.002	-0.0023
J	A	14	43	790	310	L	H	-0.0052	-0.4787
B	G	14	30	570	690	H	L	-0.0004	-0.0012
C	B	13	59	550	100	L	H	-0.0052	-0.4787
I	L	9	55	550	630	L	L	-0.002	-0.0023
B	G	16	39	750	120	L	H	-0.0052	-0.4787
H	L	19	56	940	630	L	L	-0.002	-0.0023
E	I	5	53	600	390	L	H	-0.0052	-0.4787
H	L	19	54	750	480	L	H	-0.0052	-0.4787
L	I	15	26	820	790	H	L	-0.0004	-0.0012
F	K	15	44	610	400	L	H	-0.0052	-0.4787
D	F	20	35	830	130	H	H	-0.0051	-0.4339
I	J	2	28	600	630	L	L	-0.002	-0.0023
E	C	7	26	600	690	H	L	-0.0004	-0.0012
F	A	17	40	520	120	L	H	-0.0052	-0.4787
C	K	16	54	990	550	L	L	-0.002	-0.0023
A	G	12	41	510	290	L	H	-0.0052	-0.4787
E	A	5	40	570	750	L	L	-0.002	-0.0023
L	H	10	47	700	800	L	L	-0.002	-0.0023
G	F	20	43	770	170	L	H	-0.0052	-0.4787
B	H	12	56	960	650	L	L	-0.002	-0.0023
H	F	3	35	870	340	L	H	-0.0052	-0.4787
I	F	10	37	500	840	L	L	-0.002	-0.0023
G	A	6	35	800	560	L	L	-0.002	-0.0023
G	B	13	40	620	830	L	L	-0.002	-0.0023
B	H	2	60	660	720	L	L	-0.002	-0.0023
B	K	20	30	650	920	H	L	-0.0004	-0.0012
C	L	15	50	950	810	L	L	-0.002	-0.0023
D	K	14	39	770	620	L	L	-0.002	-0.0023
D	L	12	55	950	260	L	H	-0.0052	-0.4787
D	J	2	58	940	330	L	H	-0.0052	-0.4787
D	B	13	59	500	870	L	L	-0.002	-0.0023
I	D	19	45	700	720	L	L	-0.002	-0.0023
J	K	6	55	650	580	L	L	-0.002	-0.0023
G	H	17	31	760	870	H	L	-0.0004	-0.0012
I	B	8	28	560	180	H	H	-0.0051	-0.4339
E	D	9	46	980	460	L	H	-0.0052	-0.4787
I	F	5	47	990	820	L	L	-0.002	-0.0023
K	C	3	25	980	670	L	L	-0.002	-0.0023
K	B	13	26	600	860	H	L	-0.0004	-0.0012
C	G	8	55	790	180	L	H	-0.0052	-0.4787
C	B	11	42	990	290	L	H	-0.0052	-0.4787
K	A	15	58	520	940	L	L	-0.002	-0.0023
A	L	15	58	760	800	L	L	-0.002	-0.0023
