99999	0.84	0.29	0.45	1.0	0.85	0.98	0.45	0.49	0.73
0.48	99999	0.29	0.4	0.15	0.38	0.99	0.96	0.63	0.5
0.34	0.09	99999	0.27	0.78	0.87	0.36	0.79	0.77	0.69
0.66	0.76	0.36	99999	0.7	0.28	0.49	0.77	0.69	0.29
0.95	0.65	0.58	0.01	99999	0.55	0.25	0.67	0.46	0.82
0.65	0.8	0.35	0.64	0.74	99999	0.83	0.35	0.84	0.87
0.69	0.98	0.96	0.52	0.53	0.17	99999	0.84	0.94	0.48
0.69	0.72	0.73	0.17	0.78	0.58	0.67	99999	0.42	0.62
0.77	0.64	0.72	0.03	0.16	0.44	0.65	0.22	99999	0.69
0.63	0.04	0.47	0.23	0.05	0.13	0.32	0.18	0.19	99999
