100
J	E	190	218	870	870	L	H	-0.0052	-0.4787
H	D	167	176	400	400	H	H	-0.0051	-0.4339
F	H	223	244	680	680	L	L	-0.002	-0.0023
B	D	4	56	470	470	L	L	-0.002	-0.0023
E	C	235	296	690	690	L	H	-0.0052	-0.4787
B	C	159	204	760	760	L	H	-0.0052	-0.4787
C	A	224	230	460	460	H	H	-0.0051	-0.4339
C	J	75	101	450	450	L	L	-0.002	-0.0023
D	C	241	291	450	450	L	L	-0.002	-0.0023
E	A	93	125	410	410	L	H	-0.0052	-0.4787
E	B	85	110	970	970	L	L	-0.002	-0.0023
A	F	17	42	650	650	L	L	-0.002	-0.0023
H	F	48	84	800	800	L	H	-0.0052	-0.4787
A	E	241	248	650	650	H	L	-0.0004	-0.0012
A	I	202	234	660	660	L	L	-0.002	-0.0023
J	A	116	124	430	430	H	L	-0.0004	-0.0012
D	B	194	215	790	790	L	L	-0.002	-0.0023
I	F	229	268	520	520	L	L	-0.002	-0.0023
B	F	221	245	240	240	L	L	-0.002	-0.0023
B	D	88	126	980	980	L	L	-0.002	-0.0023
C	F	71	121	890	890	L	H	-0.0052	-0.4787
E	F	79	96	300	300	H	H	-0.0051	-0.4339
E	H	42	94	260	260	L	H	-0.0052	-0.4787
J	I	237	268	240	240	L	H	-0.0052	-0.4787
J	F	212	234	780	780	L	L	-0.002	-0.0023
C	A	235	281	240	240	L	L	-0.002	-0.0023
F	D	34	86	920	920	L	H	-0.0052	-0.4787
G	B	44	77	670	670	L	H	-0.0052	-0.4787
A	G	76	91	780	780	H	L	-0.0004	-0.0012
C	I	117	154	600	600	L	L	-0.002	-0.0023
E	J	121	152	380	380	L	H	-0.0052	-0.4787
G	I	46	92	830	830	L	L	-0.002	-0.0023
C	B	126	149	850	850	L	L	-0.002	-0.0023
I	F	17	73	650	650	L	L	-0.002	-0.0023
A	E	94	135	550	550	L	L	-0.002	-0.0023
E	J	88	135	420	420	L	L	-0.002	-0.0023
A	H	141	196	520	520	L	L	-0.002	-0.0023
E	H	74	132	840	840	L	L	-0.002	-0.0023
F	E	165	193	720	720	L	L	-0.002	-0.0023
C	H	94	121	860	860	L	H	-0.0052	-0.4787
I	C	51	110	660	660	L	L	-0.002	-0.0023
E	B	185	233	730	730	L	H	-0.0052	-0.4787
J	I	171	203	580	580	L	L	-0.002	-0.0023
I	E	185	192	450	450	H	H	-0.0051	-0.4339
J	H	160	207	430	430	L	H	-0.0052	-0.4787
C	A	121	141	410	410	H	H	-0.0051	-0.4339
C	B	82	99	810	810	H	H	-0.0051	-0.4339
I	A	107	142	640	640	L	L	-0.002	-0.0023
J	B	152	171	500	500	H	L	-0.0004	-0.0012
A	F	104	127	720	720	L	H	-0.0052	-0.4787
I	F	10	51	980	980	L	L	-0.002	-0.0023
B	E	140	178	630	630	L	L	-0.002	-0.0023
E	F	210	224	730	730	H	L	-0.0004	-0.0012
J	I	95	130	380	380	L	H	-0.0052	-0.4787
J	G	145	181	450	450	L	H	-0.0052	-0.4787
J	B	90	148	200	200	L	L	-0.002	-0.0023
B	F	145	190	890	890	L	H	-0.0052	-0.4787
F	G	110	143	480	480	L	L	-0.002	-0.0023
E	H	182	212	690	690	L	H	-0.0052	-0.4787
J	E	190	215	830	830	L	L	-0.002	-0.0023
G	A	82	107	820	820	L	L	-0.002	-0.0023
C	H	7	20	990	990	H	L	-0.0004	-0.0012
D	E	11	67	370	370	L	L	-0.002	-0.0023
A	H	137	178	550	550	L	L	-0.002	-0.0023
H	A	63	100	540	540	L	H	-0.0052	-0.4787
E	J	127	171	800	800	L	L	-0.002	-0.0023
J	B	5	59	360	360	L	L	-0.002	-0.0023
E	I	182	209	980	980	L	L	-0.002	-0.0023
I	A	119	147	660	660	L	L	-0.002	-0.0023
C	A	1	23	900	900	L	L	-0.002	-0.0023
B	I	49	55	740	740	H	L	-0.0004	-0.0012
J	H	220	279	690	690	L	L	-0.002	-0.0023
G	D	231	255	790	790	L	H	-0.0052	-0.4787
E	A	178	233	750	750	L	L	-0.002	-0.0023
E	H	234	259	380	380	L	H	-0.0052	-0.4787
H	I	228	265	620	620	L	L	-0.002	-0.0023
C	G	150	190	260	260	L	H	-0.0052	-0.4787
D	E	210	221	280	280	H	H	-0.0051	-0.4339
F	G	18	49	820	820	L	H	-0.0052	-0.4787
B	J	57	102	340	340	L	H	-0.0052	-0.4787
E	H	39	56	980	980	H	H	-0.0051	-0.4339
G	C	18	63	470	470	L	H	-0.0052	-0.4787
I	B	170	200	290	290	L	L	-0.002	-0.0023
A	B	191	222	990	990	L	H	-0.0052	-0.4787
A	G	24	50	960	960	L	L	-0.002	-0.0023
H	F	241	288	670	670	L	H	-0.0052	-0.4787
C	E	39	81	840	840	L	L	-0.002	-0.0023
I	J	159	179	530	530	H	H	-0.0051	-0.4339
I	D	66	125	560	560	L	L	-0.002	-0.0023
C	D	222	251	780	780	L	L	-0.002	-0.0023
C	J	183	190	630	630	H	H	-0.0051	-0.4339
J	A	24	85	350	350	L	L	-0.002	-0.0023
J	H	62	92	790	790	L	L	-0.002	-0.0023
F	B	204	243	230	230	L	L	-0.002	-0.0023
G	A	218	233	740	740	H	H	-0.0051	-0.4339
B	J	234	282	820	820	L	H	-0.0052	-0.4787
C	G	91	150	500	500	L	L	-0.002	-0.0023
F	J	204	234	680	680	L	H	-0.0052	-0.4787
F	E	206	252	750	750	L	L	-0.002	-0.0023
I	A	152	194	470	470	L	H	-0.0052	-0.4787
