200
T	P	14	50	9100	64	L	L	-0.0002	-0.0023
K	D	1	22	4900	83	L	L	-0.0002	-0.0023
J	I	29	35	8300	65	L	L	-0.0002	-0.0023
Q	K	12	22	5900	93	H	L	-0.0004	-0.0012
L	M	19	39	5600	45	L	H	-0.0052	-0.4787
P	L	37	67	9800	36	L	L	-0.0002	-0.0023
D	M	46	82	4900	67	L	H	-0.0052	-0.4787
L	N	36	64	7100	56	L	L	-0.0002	-0.0023
P	J	16	50	3900	64	L	L	-0.0002	-0.0023
F	K	64	73	3400	69	L	L	-0.0002	-0.0023
O	Q	60	73	7100	84	H	L	-0.0004	-0.0012
H	K	1	12	8000	60	H	L	-0.0004	-0.0012
H	N	7	49	2500	72	H	H	-0.0051	-0.4339
G	K	23	36	4300	66	H	H	-0.0051	-0.4339
B	A	49	72	2000	36	H	H	-0.0051	-0.4339
T	G	11	64	7900	45	L	L	-0.0002	-0.0023
Q	N	9	49	4200	49	H	H	-0.0051	-0.4339
N	M	61	67	7500	46	H	L	-0.0004	-0.0012
B	I	4	47	6400	67	L	L	-0.0002	-0.0023
O	E	12	34	3300	33	H	L	-0.0004	-0.0012
E	T	49	61	9300	60	H	H	-0.0051	-0.4339
Q	T	16	57	3300	80	H	H	-0.0051	-0.4339
O	P	23	58	9000	63	H	H	-0.0051	-0.4339
I	M	11	53	8400	62	L	L	-0.0002	-0.0023
H	O	32	60	8100	72	H	H	-0.0051	-0.4339
A	R	52	82	7700	48	H	L	-0.0004	-0.0012
I	P	61	71	4900	76	H	L	-0.0004	-0.0012
P	E	12	30	5800	86	L	H	-0.0052	-0.4787
D	B	20	47	2400	62	L	L	-0.0002	-0.0023
F	O	50	77	4400	72	H	L	-0.0004	-0.0012
F	M	7	63	6300	86	H	H	-0.0051	-0.4339
K	F	56	66	9900	83	L	L	-0.0002	-0.0023
S	G	57	64	5100	82	L	L	-0.0002	-0.0023
K	R	26	32	2500	27	H	H	-0.0051	-0.4339
O	H	14	75	8600	74	L	L	-0.0002	-0.0023
J	K	64	80	4400	40	H	L	-0.0004	-0.0012
L	O	51	71	6000	79	H	H	-0.0051	-0.4339
H	D	20	51	7900	89	H	H	-0.0051	-0.4339
L	B	3	34	4600	31	L	L	-0.0002	-0.0023
S	T	53	76	4600	20	L	L	-0.0002	-0.0023
E	Q	63	73	6800	89	L	H	-0.0052	-0.4787
C	P	2	21	7300	98	L	L	-0.0002	-0.0023
J	C	3	58	5000	98	L	L	-0.0002	-0.0023
A	S	48	58	7900	53	H	H	-0.0051	-0.4339
O	I	29	59	6900	84	L	L	-0.0002	-0.0023
H	S	34	45	2500	39	H	L	-0.0004	-0.0012
S	T	63	70	8700	81	H	L	-0.0004	-0.0012
M	A	15	48	9700	37	L	L	-0.0002	-0.0023
A	D	56	69	2400	54	H	L	-0.0004	-0.0012
D	L	38	67	9800	44	L	H	-0.0052	-0.4787
R	T	8	35	8500	90	H	H	-0.0051	-0.4339
P	A	34	61	3700	64	L	L	-0.0002	-0.0023
D	R	54	62	5200	93	H	H	-0.0051	-0.4339
C	S	17	54	2400	86	L	L	-0.0002	-0.0023
H	L	13	54	4700	42	L	H	-0.0052	-0.4787
H	M	26	70	7600	64	H	H	-0.0051	-0.4339
L	R	26	45	7900	60	L	L	-0.0002	-0.0023
I	R	1	12	6100	59	L	L	-0.0002	-0.0023
K	B	11	56	2100	57	L	L	-0.0002	-0.0023
F	I	26	64	9000	64	L	L	-0.0002	-0.0023
C	N	53	62	3000	95	L	L	-0.0002	-0.0023
K	F	38	59	7500	56	H	H	-0.0051	-0.4339
A	I	10	71	6000	60	L	L	-0.0002	-0.0023
J	B	32	82	8600	37	H	L	-0.0004	-0.0012
B	M	54	68	9400	48	H	L	-0.0004	-0.0012
K	R	63	83	7700	35	H	L	-0.0004	-0.0012
