400
D	P	53	60	4500	68	L	H	-0.0052	-0.4787
E	a	28	52	8800	85	L	H	-0.0052	-0.4787
N	h	52	83	3800	30	L	H	-0.0052	-0.4787
H	h	56	80	5000	59	L	H	-0.0052	-0.4787
G	^	64	75	9800	72	H	H	-0.0051	-0.4339
M	a	16	56	2500	39	H	L	-0.0004	-0.0012
M	B	27	50	3800	33	H	H	-0.0051	-0.4339
H	B	2	49	9600	30	H	L	-0.0004	-0.0012
R	\	62	78	3800	67	H	H	-0.0051	-0.4339
h	a	28	47	9000	43	H	H	-0.0051	-0.4339
e	S	19	34	5600	98	H	H	-0.0051	-0.4339
N	L	49	77	5300	58	L	H	-0.0052	-0.4787
C	J	18	80	4500	68	H	H	-0.0051	-0.4339
^	F	55	64	9100	25	H	L	-0.0004	-0.0012
P	H	13	54	7900	36	H	H	-0.0051	-0.4339
\	^	35	76	2700	96	H	L	-0.0004	-0.0012
g	V	25	53	6400	89	H	L	-0.0004	-0.0012
N	^	48	73	7100	70	H	H	-0.0051	-0.4339
Z	O	31	49	5900	21	H	H	-0.0051	-0.4339
d	^	14	66	6300	25	L	H	-0.0052	-0.4787
h	N	25	45	3100	55	L	L	-0.0002	-0.0023
c	B	10	19	3700	59	H	L	-0.0004	-0.0012
G	\	30	65	2500	42	L	H	-0.0052	-0.4787
T	h	24	46	5000	23	L	L	-0.0002	-0.0023
d	X	58	64	3400	27	L	H	-0.0052	-0.4787
V	G	48	69	6900	69	H	L	-0.0004	-0.0012
Y	M	2	39	3700	70	L	L	-0.0002	-0.0023
T	b	36	81	3700	69	L	H	-0.0052	-0.4787
E	f	8	57	6700	80	H	L	-0.0004	-0.0012
G	]	22	71	9700	88	H	H	-0.0051	-0.4339
W	V	4	41	8100	44	L	L	-0.0002	-0.0023
L	f	29	61	3900	83	H	H	-0.0051	-0.4339
Z	K	28	72	8700	29	L	L	-0.0002	-0.0023
D	d	4	20	8500	81	H	L	-0.0004	-0.0012
d	_	16	62	9400	22	H	H	-0.0051	-0.4339
g	W	8	25	8700	93	L	H	-0.0052	-0.4787
]	g	10	61	8600	61	H	L	-0.0004	-0.0012
a	W	44	67	9700	67	H	L	-0.0004	-0.0012
d	N	56	63	6200	66	L	H	-0.0052	-0.4787
G	M	17	64	8100	90	L	L	-0.0002	-0.0023
]	T	46	63	2400	49	L	H	-0.0052	-0.4787
S	V	11	71	7800	37	L	L	-0.0002	-0.0023
a	F	25	35	8500	42	L	L	-0.0002	-0.0023
R	Z	27	65	8700	30	H	L	-0.0004	-0.0012
H	A	21	36	2100	36	L	L	-0.0002	-0.0023
L	S	24	43	9300	97	L	L	-0.0002	-0.0023
g	L	42	68	7200	85	L	L	-0.0002	-0.0023
b	L	41	80	5700	38	H	L	-0.0004	-0.0012
^	H	23	45	4000	67	L	L	-0.0002	-0.0023
T	P	6	40	6900	21	H	L	-0.0004	-0.0012
a	F	32	60	4900	43	H	L	-0.0004	-0.0012
V	K	11	23	2900	91	H	H	-0.0051	-0.4339
e	N	52	65	9000	66	L	H	-0.0052	-0.4787
F	h	43	83	6200	96	H	L	-0.0004	-0.0012
Y	O	60	67	2800	29	H	H	-0.0051	-0.4339
g	W	16	64	5600	34	L	H	-0.0052	-0.4787
E	J	25	45	8800	25	L	H	-0.0052	-0.4787
`	H	26	44	7800	51	L	H	-0.0052	-0.4787
N	P	25	74	4200	46	H	H	-0.0051	-0.4339
K	^	15	63	8800	59	H	L	-0.0004	-0.0012
J	L	22	44	5300	99	H	L	-0.0004	-0.0012
T	O	19	36	2200	27	H	L	-0.0004	-0.0012
`	I	16	43	6700	75	H	H	-0.0051	-0.4339
R	M	21	62	8300	29	H	L	-0.0004	-0.0012
e	^	38	46	7000	65	H	H	-0.0051	-0.4339
O	M	11	32	3900	69	L	L	-0.0002	-0.0023
]	H	10	54	6800	58	L	H	-0.0052	-0.4787
Q	f	64	76	8200	93	L	L	-0.0002	-0.0023
L	O	61	68	3200	96	H	L	-0.0004	-0.0012
K	H	56	64	8100	39	L	L	-0.0002	-0.0023
L	D	30	68	4300	30	L	H	-0.0052	-0.4787
L	K	43	66	6500	75	H	H	-0.0051	-0.4339
L	b	55	63	5100	42	H	H	-0.0051	-0.4339
b	U	38	45	9800	72	L	L	-0.0002	-0.0023
S	U	61	72	9900	51	L	H	-0.0052	-0.4787
F	d	55	62	5500	61	H	H	-0.0051	-0.4339
