600
h	G	8	26	3500	42	H	L	-0.0004	-0.0012
`	[	18	62	2200	37	L	H	-0.0052	-0.4787
o	l	52	61	3500	84	L	H	-0.0052	-0.4787
n	P	4	17	3000	25	L	L	-0.0002	-0.0023
h	U	25	54	3400	60	H	H	-0.0051	-0.4339
O	f	7	56	8700	89	H	L	-0.0004	-0.0012
f	I	42	78	3900	84	H	H	-0.0051	-0.4339
`	j	45	59	2500	41	L	H	-0.0052	-0.4787
W	V	32	55	9400	72	H	L	-0.0004	-0.0012
U	h	3	55	8000	57	L	L	-0.0002	-0.0023
J	l	34	52	2200	82	L	L	-0.0002	-0.0023
o	q	61	67	3200	67	L	H	-0.0052	-0.4787
P	g	31	61	4400	69	L	L	-0.0002	-0.0023
L	Q	13	37	4100	91	L	L	-0.0002	-0.0023
e	p	59	78	6900	73	L	L	-0.0002	-0.0023
d	F	12	75	7400	60	H	L	-0.0004	-0.0012
`	[	53	70	7100	80	H	L	-0.0004	-0.0012
C	H	37	63	8700	26	L	L	-0.0002	-0.0023
T	U	63	70	9800	93	H	H	-0.0051	-0.4339
C	h	14	45	5100	20	H	L	-0.0004	-0.0012
T	G	50	69	5500	28	L	L	-0.0002	-0.0023
A	O	37	78	2200	29	L	L	-0.0002	-0.0023
a	f	35	50	4800	46	H	H	-0.0051	-0.4339
r	E	11	72	4800	79	H	H	-0.0051	-0.4339
`	q	17	71	6500	74	L	L	-0.0002	-0.0023
j	V	60	70	9800	97	H	H	-0.0051	-0.4339
q	M	56	68	2900	55	L	H	-0.0052	-0.4787
H	g	39	74	6900	44	H	L	-0.0004	-0.0012
G	[	7	17	6000	62	H	L	-0.0004	-0.0012
K	I	4	25	3100	57	L	L	-0.0002	-0.0023
O	L	56	82	9300	73	L	L	-0.0002	-0.0023
V	j	16	52	9600	29	L	H	-0.0052	-0.4787
j	_	7	66	3300	41	H	L	-0.0004	-0.0012
[	r	34	53	7300	59	H	H	-0.0051	-0.4339
G	^	3	27	4000	36	H	L	-0.0004	-0.0012
O	m	15	45	3900	44	H	H	-0.0051	-0.4339
X	e	14	21	6900	23	L	L	-0.0002	-0.0023
R	Q	42	80	8900	91	H	H	-0.0051	-0.4339
W	p	9	37	2400	51	L	H	-0.0052	-0.4787
l	Z	12	56	2800	85	H	H	-0.0051	-0.4339
T	C	50	56	9300	85	H	L	-0.0004	-0.0012
G	W	28	76	8300	42	H	H	-0.0051	-0.4339
M	d	18	59	5400	94	H	L	-0.0004	-0.0012
L	Z	62	71	5400	54	L	L	-0.0002	-0.0023
j	[	9	55	9100	85	L	L	-0.0002	-0.0023
X	h	13	25	3800	57	L	L	-0.0002	-0.0023
]	f	25	44	8300	44	L	H	-0.0052	-0.4787
M	R	56	70	8900	89	L	L	-0.0002	-0.0023
Q	e	62	72	8200	51	H	H	-0.0051	-0.4339
V	E	62	80	4300	79	H	H	-0.0051	-0.4339
]	n	29	49	9900	89	L	L	-0.0002	-0.0023
j	q	30	80	7100	20	L	L	-0.0002	-0.0023
P	_	28	66	8900	85	L	H	-0.0052	-0.4787
Y	i	46	83	3000	24	L	L	-0.0002	-0.0023
P	H	26	64	7900	36	H	L	-0.0004	-0.0012
H	f	8	56	6200	25	H	L	-0.0004	-0.0012
j	f	9	47	6000	68	L	H	-0.0052	-0.4787
e	h	37	47	3300	80	H	L	-0.0004	-0.0012
p	N	3	15	8500	68	L	H	-0.0052	-0.4787
M	e	43	76	7800	63	H	L	-0.0004	-0.0012
p	_	11	44	9000	52	L	H	-0.0052	-0.4787
M	I	20	67	6600	82	L	L	-0.0002	-0.0023
l	W	59	73	5800	26	L	L	-0.0002	-0.0023
U	W	32	60	2200	37	H	H	-0.0051	-0.4339
W	\	22	74	4400	30	H	L	-0.0004	-0.0012
U	Q	45	62	6900	20	L	H	-0.0052	-0.4787
p	J	13	21	8000	22	L	L	-0.0002	-0.0023
a	O	60	76	6500	75	L	H	-0.0052	-0.4787
W	U	30	40	5500	59	L	L	-0.0002	-0.0023
I	A	27	81	6300	56	L	H	-0.0052	-0.4787
I	K	16	69	8500	93	L	L	-0.0002	-0.0023
q	F	20	50	7200	70	H	H	-0.0051	-0.4339
k	f	39	69	3300	42	H	H	-0.0051	-0.4339
d	W	52	77	3600	86	L	L	-0.0002	-0.0023
q	S	48	82	9800	73	L	H	-0.0052	-0.4787
\	Q	44	51	7200	24	H	L	-0.0004	-0.0012
^	m	54	82	5000	36	L	L	-0.0002	-0.0023
p	P	51	61	5300	92	L	H	-0.0052	-0.4787
m	_	25	48	5900	46	L	L	-0.0002	-0.0023
a	X	31	39	9800	58	H	L	-0.0004	-0.0012
`	c	38	79	7000	73	H	L	-0.0004	-0.0012
A	p	17	45	3200	31	H	H	-0.0051	-0.4339
o	\	63	69	7200	21	L	H	-0.0052	-0.4787
F	^	37	55	6200	79	H	L	-0.0004	-0.0012
A	Q	47	79	3500	81	H	L	-0.0004	-0.0012
S	q	26	68	4800	97	H	H	-0.0051	-0.4339
V	Q	2	22	8000	72	L	L	-0.0002	-0.0023
V	b	18	55	3700	29	L	H	-0.0052	-0.4787
m	f	33	83	4500	64	H	L	-0.0004	-0.0012
F	[	12	50	7200	49	H	L	-0.0004	-0.0012
I	P	24	36	4900	56	L	L	-0.0002	-0.0023
C	d	13	69	7200	56	L	H	-0.0052	-0.4787
U	r	14	24	7000	29	L	L	-0.0002	-0.0023
K	k	3	51	8100	98	H	H	-0.0051	-0.4339
\	S	50	69	8200	30	H	H	-0.0051	-0.4339
E	H	58	78	5600	78	L	L	-0.0002	-0.0023
i	f	42	83	5000	52	H	H	-0.0051	-0.4339
A	\	14	76	4100	49	L	H	-0.0052	-0.4787
`	_	48	65	8400	94	L	H	-0.0052	-0.4787
l	^	41	64	4800	25	L	L	-0.0002	-0.0023
h	V	12	72	4000	76	H	L	-0.0004	-0.0012
h	c	56	76	3000	36	H	L	-0.0004	-0.0012
E	\	36	71	2600	89	H	L	-0.0004	-0.0012
[	C	37	79	5500	92	L	H	-0.0052	-0.4787
l	A	18	78	5200	38	L	H	-0.0052	-0.4787
S	]	57	82	8300	58	H	H	-0.0051	-0.4339
H	I	23	36	2600	51	H	L	-0.0004	-0.0012
M	Y	26	36	8400	47	H	L	-0.0004	-0.0012
c	a	27	72	7100	38	L	L	-0.0002	-0.0023
F	j	16	61	7500	94	H	H	-0.0051	-0.4339
T	e	2	14	7800	94	H	L	-0.0004	-0.0012
h	[	8	16	4400	84	H	H	-0.0051	-0.4339
C	J	47	63	4400	23	L	L	-0.0002	-0.0023
N	R	19	31	3900	65	H	H	-0.0051	-0.4339
B	A	11	34	5400	75	L	H	-0.0052	-0.4787
_	U	19	48	3300	98	L	H	-0.0052	-0.4787
N	d	24	38	9300	57	H	H	-0.0051	-0.4339
S	p	8	26	4700	42	H	L	-0.0004	-0.0012
j	r	34	59	9100	48	H	H	-0.0051	-0.4339
I	M	49	55	9400	78	H	H	-0.0051	-0.4339
H	n	6	35	7300	50	H	H	-0.0051	-0.4339
d	^	17	32	9000	75	H	L	-0.0004	-0.0012
R	d	8	67	9600	62	H	L	-0.0004	-0.0012
V	M	46	74	8900	72	H	L	-0.0004	-0.0012
^	j	48	73	7100	70	H	H	-0.0051	-0.4339
