600
DC	BX	14	33	8800	97	L	L	-0.0002	-0.0023
DB	CJ	155	175	9800	36	L	L	-0.0002	-0.0023
BV	DO	152	197	2600	84	H	L	-0.0004	-0.0012
DE	CT	211	262	8700	70	H	L	-0.0004	-0.0012
DT	DK	68	119	2500	80	H	L	-0.0004	-0.0012
DB	DE	112	161	7000	44	H	H	-0.0051	-0.4339
DP	BQ	240	252	7900	55	L	H	-0.0052	-0.4787
BV	BZ	74	127	9200	64	L	H	-0.0052	-0.4787
DU	CV	31	43	7000	25	L	L	-0.0002	-0.0023
DN	CU	242	287	8500	71	L	L	-0.0002	-0.0023
CN	CV	20	33	8100	46	H	H	-0.0051	-0.4339
CO	DT	173	214	9400	50	L	L	-0.0002	-0.0023
CO	CR	105	155	7200	77	L	H	-0.0052	-0.4787
DW	DN	137	200	9300	28	H	L	-0.0004	-0.0012
DK	DL	210	250	9800	83	L	H	-0.0052	-0.4787
CA	DR	143	183	5700	76	L	L	-0.0002	-0.0023
BS	BX	212	259	2600	65	H	H	-0.0051	-0.4339
ED	EA	137	189	4200	73	H	H	-0.0051	-0.4339
CX	BO	160	194	3300	38	L	H	-0.0052	-0.4787
CF	DO	86	134	3500	37	L	H	-0.0052	-0.4787
BN	DS	59	108	6300	51	H	L	-0.0004	-0.0012
CO	DQ	233	289	3500	78	L	L	-0.0002	-0.0023
EB	CQ	89	152	8800	91	H	H	-0.0051	-0.4339
DL	CO	45	99	5200	45	L	L	-0.0002	-0.0023
DP	CS	109	126	2700	87	L	H	-0.0052	-0.4787
BU	DA	94	140	6400	87	L	L	-0.0002	-0.0023
CT	CG	214	252	3200	30	H	H	-0.0051	-0.4339
DM	BU	116	165	7900	97	L	H	-0.0052	-0.4787
DN	DY	225	243	7800	53	L	H	-0.0052	-0.4787
EB	BN	76	82	3900	92	H	H	-0.0051	-0.4339
BW	CP	182	221	8500	95	H	L	-0.0004	-0.0012
DD	DI	145	192	8700	24	L	H	-0.0052	-0.4787
CI	CL	212	264	4000	59	H	H	-0.0051	-0.4339
CN	DF	96	158	9500	57	H	L	-0.0004	-0.0012
BP	BR	210	241	7000	60	L	H	-0.0052	-0.4787
BO	CN	162	214	2000	92	L	H	-0.0052	-0.4787
DQ	DJ	159	192	2400	98	H	L	-0.0004	-0.0012
DT	CJ	27	72	6800	37	L	L	-0.0002	-0.0023
BV	BS	44	53	9200	73	L	H	-0.0052	-0.4787
DO	DM	77	124	9600	70	L	L	-0.0002	-0.0023
DV	DB	149	161	4200	70	L	H	-0.0052	-0.4787
CG	DE	164	185	2800	45	H	L	-0.0004	-0.0012
DN	CG	205	235	8000	48	H	L	-0.0004	-0.0012
BR	BU	56	105	5400	52	L	H	-0.0052	-0.4787
