k	q	p	from	to	time[p]	cost[p]
0	0	0	970	985	1	10
0	0	0	985	2767	2	10
0	0	0	2767	2805	11	399
0	0	0	2805	2809	12	399
0	0	0	2809	2820	15	920
0	0	0	2820	1256	16	920
0	0	0	1256	1281	17	930
0	0	0	1281	1299	17	930
0	0	0	1299	1317	17	930
0	0	0	1317	1335	17	930
0	0	1	970	988	1	0
0	0	1	988	1006	2	0
0	0	1	1006	1021	3	10
0	0	1	1021	1039	4	13
0	0	1	1039	1057	5	16
0	0	1	1057	1075	6	19
0	0	1	1075	1093	7	22
0	0	1	1093	1111	8	25
0	0	1	1111	1129	9	28
0	0	1	1129	1147	10	31
0	0	1	1147	1165	11	34
0	0	1	1165	77	12	34
0	0	1	77	102	18	347
0	0	1	102	1310	19	347
0	0	1	1310	1335	20	357
0	0	2	970	988	1	0
0	0	2	988	1006	2	0
0	0	2	1006	1035	3	10
0	0	2	1035	1053	4	12
0	0	2	1053	1071	5	14
0	0	2	1071	1089	6	16
0	0	2	1089	473	6	16
0	0	2	473	478	7	1549
0	0	2	478	1108	7	1549
0	0	2	1108	1126	7	1549
0	0	2	1126	1144	7	1549
0	0	2	1144	1162	7	1549
0	0	2	1162	1180	7	1549
0	0	2	1180	1198	7	1549
0	0	2	1198	1216	7	1549
0	0	2	1216	1234	7	1549
0	0	2	1234	1252	7	1549
0	0	2	1252	1270	7	1549
0	0	2	1270	1281	7	1549
0	0	2	1281	1299	7	1549
0	0	2	1299	1317	7	1549
0	0	2	1317	1335	7	1549
0	0	3	970	988	1	0
0	0	3	988	1006	2	0
0	0	3	1006	1035	3	10
0	0	3	1035	1053	4	12
0	0	3	1053	1071	5	14
0	0	3	1071	1089	6	16
0	0	3	1089	1107	7	18
0	0	3	1107	1125	8	20
0	0	3	1125	3211	8	20
0	0	3	3211	3214	9	1671
0	0	3	3214	3220	10	2456
0	0	3	3220	1162	10	2456
0	0	3	1162	1180	10	2456
0	0	3	1180	1198	10	2456
0	0	3	1198	1216	10	2456
0	0	3	1216	1234	10	2456
