c	n	which network, [0]:sea; [1]:air; [2]:dummy; [3]:exist_sea; [4]:exist_air;				
c	tail	arc from, i				
c	head	arc to, j				
c	m_p	margin profit per cubic meter transported on arc(i, j) in G[S] & G[A]				
c	fo_c	fixed operating cost on arc (i, j) in G[S] & G[A]				
c	l_c	unit loading and unloading cost on arc(i, j) in G[D]				
c	s_c	nit holding and transporting cost on arc(i, j) in G[D]				
						
n	2					
c	tail	head	l_c	s_c	tij	
a	35	1005	20	0	1	
a	56	1110	20	0	1	
a	73	1183	20	0	1	
a	96	1290	20	0	1	
a	98	1292	20	0	1	
a	102	1310	20	0	1	
a	125	1417	20	0	1	
a	140	1488	20	0	1	
a	167	1599	20	0	1	
a	182	1670	20	0	1	
a	444	962	25	0	0	
a	449	981	25	0	0	
a	456	1016	25	0	0	
a	459	1019	25	0	0	
a	462	1036	25	0	0	
a	467	1055	25	0	0	
a	468	1070	25	0	0	
a	473	1089	25	0	0	
a	477	1107	25	0	0	
a	478	1108	25	0	0	
a	533	1359	25	0	0	
a	537	1377	25	0	0	
a	567	1505	25	0	0	
a	575	1541	25	0	0	
a	617	1737	25	0	0	
a	621	1755	25	0	0	
a	882	900	0	0	1	
a	883	901	0	0	1	
a	884	902	0	0	1	
a	884	910	0	10	1	
a	900	918	0	0	1	
a	901	919	0	0	1	
a	902	914	0	10	1	
a	902	920	0	0	1	
a	910	3164	25	0	0	
a	914	22	20	0	1	
a	918	930	0	10	1	
a	918	944	0	10	1	
a	919	937	0	0	1	
a	920	946	0	10	1	
a	930	948	0	3	1	
a	937	962	0	10	1	
a	937	955	0	0	1	
a	944	962	0	2	1	
a	946	442	25	0	0	
a	946	964	0	2	1	
a	948	966	0	3	1	
a	955	973	0	0	1	
a	961	979	0	0	0	
a	962	444	25	0	0	
a	962	979	0	10	1	
a	964	982	0	2	1	
a	966	984	0	3	1	
a	970	985	0	10	1	
a	970	988	0	0	1	
a	970	999	0	10	1	
a	971	987	0	10	1	
a	971	989	0	0	1	
a	973	991	0	0	1	
a	979	997	0	0	0	
a	980	997	0	10	1	
a	981	995	0	10	1	
a	982	450	25	0	0	
a	984	1002	0	3	1	
a	985	2767	20	0	1	
a	987	39	20	0	1	
a	988	1006	0	0	1	
a	989	1007	0	0	1	
a	991	1016	0	10	1	
a	995	1013	0	0	0	
a	997	1015	0	0	0	
a	999	453	25	0	0	
a	1002	1020	0	3	1	
a	1005	1037	0	3	1	
a	1006	1021	0	10	1	
a	1006	1035	0	10	1	
a	1007	1023	0	10	1	
a	1007	1037	0	10	1	
a	1013	1031	0	0	0	
a	1015	1033	0	0	0	
a	1016	456	25	0	0	
a	1016	1033	0	10	1	
a	1019	1032	0	10	1	
a	1020	1038	0	3	1	
a	1021	1039	0	3	1	
a	1023	1041	0	3	1	
a	1031	1049	0	0	0	
a	1032	1050	0	0	0	
a	1033	1051	0	0	0	
a	1035	1053	0	2	1	
a	1036	1047	0	10	1	
a	1037	463	25	0	0	
a	1037	1055	0	2	1	
a	1038	1056	0	3	1	
a	1039	1057	0	3	1	
a	1041	1059	0	3	1	
a	1047	1065	0	0	0	
a	1049	1067	0	0	0	
a	1050	1068	0	0	0	
a	1051	1069	0	0	0	
a	1053	1071	0	2	1	
a	1055	1068	0	10	1	
a	1055	1073	0	2	1	
a	1056	1074	0	3	1	
a	1057	1075	0	3	1	
a	1059	1077	0	3	1	
a	1065	1083	0	0	0	
a	1067	1085	0	0	0	
a	1068	1086	0	0	0	
a	1069	1087	0	0	0	
a	1070	1087	0	10	1	
a	1071	1089	0	2	1	
a	1073	471	25	0	0	
a	1073	1091	0	2	1	
a	1074	1092	0	3	1	
a	1075	1093	0	3	1	
a	1077	1095	0	3	1	
a	1083	1101	0	0	0	
a	1085	1103	0	0	0	
a	1086	1104	0	0	0	
a	1087	1105	0	0	0	
a	1089	473	25	0	0	
a	1089	1102	0	10	1	
a	1089	1107	0	2	1	
a	1091	3205	25	0	0	
a	1092	60	20	0	1	
a	1093	1111	0	3	1	
a	1095	1113	0	3	1	
a	1101	1119	0	0	0	
a	1102	1120	0	0	0	
a	1103	1121	0	0	0	
a	1104	1122	0	0	0	
a	1105	1123	0	0	0	
a	1107	1120	0	10	1	
a	1107	1125	0	2	1	
a	1108	1119	0	10	1	
a	1110	1141	0	10	1	
a	1111	1129	0	3	1	
a	1113	1131	0	3	1	
a	1119	1137	0	0	0	
a	1120	1138	0	0	0	
a	1121	1139	0	0	0	
a	1122	1140	0	0	0	
a	1123	1141	0	0	0	
a	1125	1138	0	10	1	
a	1125	3211	25	0	0	
a	1129	1147	0	3	1	
a	1131	1149	0	3	1	
a	1137	1155	0	0	0	
a	1138	1156	0	0	0	
a	1139	1157	0	0	0	
a	1140	1158	0	0	0	
a	1141	1159	0	0	0	
a	1147	1165	0	3	1	
a	1149	1167	0	3	1	
a	1155	1173	0	0	0	
a	1156	1174	0	0	0	
a	1157	1175	0	0	0	
a	1158	1176	0	0	0	
a	1159	1177	0	0	0	
a	1162	1173	0	10	1	
a	1165	77	20	0	1	
a	1167	2809	20	0	1	
a	1173	1191	0	0	0	
a	1174	1192	0	0	0	
a	1175	1193	0	0	0	
a	1176	1194	0	0	0	
a	1177	1195	0	0	0	
a	1183	1210	0	10	1	
a	1191	1209	0	0	0	
a	1192	1210	0	0	0	
a	1193	1211	0	0	0	
a	1194	1212	0	0	0	
a	1195	1213	0	0	0	
a	1209	1227	0	0	0	
a	1210	1228	0	0	0	
a	1211	1229	0	0	0	
a	1212	1230	0	0	0	
a	1213	1231	0	0	0	
a	1227	1245	0	0	0	
a	1228	1246	0	0	0	
a	1229	1247	0	0	0	
a	1230	1248	0	0	0	
a	1231	1249	0	0	0	
a	1237	1255	0	3	1	
a	1245	1263	0	0	0	
a	1246	1264	0	0	0	
a	1247	1265	0	0	0	
a	1248	1266	0	0	0	
a	1249	1267	0	0	0	
a	1255	1273	0	3	1	
a	1256	1281	0	10	1	
a	1256	1288	0	3	1	
a	1260	1272	0	10	1	
a	1260	1278	0	0	1	
a	1261	1272	0	10	1	
a	1261	1279	0	0	1	
a	1262	1280	0	0	1	
a	1263	1281	0	0	0	
a	1264	1282	0	0	0	
a	1265	1283	0	0	0	
a	1266	1284	0	0	0	
a	1267	1285	0	0	0	
a	1272	100	20	0	1	
a	1278	1296	0	0	1	
a	1279	1297	0	0	1	
a	1280	1292	0	10	1	
a	1281	1299	0	0	0	
a	1282	1300	0	0	0	
a	1283	1301	0	0	0	
a	1284	1302	0	0	0	
a	1285	1303	0	0	0	
a	1288	1306	0	2	1	
a	1288	3248	25	0	0	
a	1290	1322	0	3	1	
a	1292	106	20	0	1	
a	1292	1324	0	3	1	
a	1296	1308	0	10	1	
a	1297	1315	0	0	1	
a	1299	1317	0	0	0	
a	1300	1318	0	0	0	
a	1301	1319	0	0	0	
a	1302	1320	0	0	0	
a	1306	1324	0	2	1	
a	1308	1326	0	3	1	
a	1310	1335	0	10	1	
a	1315	1333	0	0	1	
a	1317	1335	0	0	0	
a	1318	1336	0	0	0	
a	1319	1337	0	0	0	
a	1322	1340	0	2	1	
a	1324	526	25	0	0	
a	1324	1342	0	2	1	
a	1326	1344	0	3	1	
a	1333	1351	0	0	1	
a	1336	1354	0	0	0	
a	1337	1355	0	0	0	
a	1340	528	25	0	0	
