k	q	r	p	cost	time	utility	e	utility_e
0	0	0	0	930	17	-276.218	-1.58968	-274.628
0	0	0	1	357	20	-304.146	-0.0987836	-304.047
0	0	0	2	1549	7	-146.666	0.978014	-147.644
0	0	0	3	2456	10	-216.389	0.926603	-217.316
0	0	0	4	2446	3	-113.185	0.41043	-113.595
0	0	0	5	930	19	-305.624	1.72524	-307.349
0	0	0	6	354	19	-289.358	-0.403664	-288.954
0	0	1	0	930	17	-276.218	1.24163	-277.459
0	0	1	1	357	20	-304.146	-1.36565	-302.78
0	0	1	2	1549	7	-146.666	1.47171	-148.138
0	0	1	3	2456	10	-216.389	-0.293998	-216.095
0	0	1	4	2446	3	-113.185	1.33263	-114.517
0	0	1	5	930	19	-305.624	0.793572	-306.418
0	0	1	6	354	19	-289.358	-0.0291813	-289.329
0	0	2	0	930	17	-276.218	0.902668	-277.12
0	0	2	1	357	20	-304.146	-0.0463962	-304.099
0	0	2	2	1549	7	-146.666	-1.16036	-145.506
0	0	2	3	2456	10	-216.389	0.448796	-216.838
0	0	2	4	2446	3	-113.185	0.191655	-113.376
0	0	2	5	930	19	-305.624	-0.0160649	-305.608
0	0	2	6	354	19	-289.358	-1.01994	-288.338
0	0	3	0	930	17	-276.218	0.493767	-276.711
0	0	3	1	357	20	-304.146	1.28924	-305.435
0	0	3	2	1549	7	-146.666	-0.548196	-146.118
0	0	3	3	2456	10	-216.389	-1.4158	-214.974
0	0	3	4	2446	3	-113.185	0.683493	-113.868
0	0	3	5	930	19	-305.624	0.558645	-306.183
0	0	3	6	354	19	-289.358	-0.0605867	-289.297
0	0	4	0	930	17	-276.218	0.497599	-276.715
0	0	4	1	357	20	-304.146	-0.997252	-303.148
0	0	4	2	1549	7	-146.666	-0.0161738	-146.65
0	0	4	3	2456	10	-216.389	0.397342	-216.787
0	0	4	4	2446	3	-113.185	-0.241247	-112.943
0	0	4	5	930	19	-305.624	-0.312867	-305.311
0	0	4	6	354	19	-289.358	-0.735825	-288.622
0	0	5	0	930	17	-276.218	-0.281404	-275.936
0	0	5	1	357	20	-304.146	-1.31785	-302.828
0	0	5	2	1549	7	-146.666	-0.867674	-145.798
0	0	5	3	2456	10	-216.389	-1.41986	-214.97
0	0	5	4	2446	3	-113.185	0.448544	-113.633
0	0	5	5	930	19	-305.624	2.19436	-307.818
0	0	5	6	354	19	-289.358	-1.90887	-287.449
0	0	6	0	930	17	-276.218	-0.0678444	-276.15
0	0	6	1	357	20	-304.146	1.08903	-305.235
0	0	6	2	1549	7	-146.666	0.220273	-146.886
0	0	6	3	2456	10	-216.389	1.58065	-217.97
0	0	6	4	2446	3	-113.185	-0.661826	-112.523
0	0	6	5	930	19	-305.624	0.672156	-306.296
0	0	6	6	354	19	-289.358	-0.846558	-288.511
0	0	7	0	930	17	-276.218	0.357284	-276.575
0	0	7	1	357	20	-304.146	-1.31379	-302.832
0	0	7	2	1549	7	-146.666	-1.18826	-145.478
0	0	7	3	2456	10	-216.389	-0.401612	-215.988
0	0	7	4	2446	3	-113.185	-1.87656	-111.308
0	0	7	5	930	19	-305.624	-1.37399	-304.25
0	0	7	6	354	19	-289.358	0.613981	-289.972
0	0	8	0	930	17	-276.218	0.428572	-276.646
0	0	8	1	357	20	-304.146	0.245587	-304.391
0	0	8	2	1549	7	-146.666	0.603843	-147.27
0	0	8	3	2456	10	-216.389	-1.12427	-215.265
0	0	8	4	2446	3	-113.185	0.387588	-113.572
0	0	8	5	930	19	-305.624	1.4529	-307.077
0	0	8	6	354	19	-289.358	-1.15379	-288.204
0	0	9	0	930	17	-276.218	-1.11069	-275.107
0	0	9	1	357	20	-304.146	-1.14095	-303.005
0	0	9	2	1549	7	-146.666	-0.466603	-146.2
0	0	9	3	2456	10	-216.389	1.14526	-217.535
0	0	9	4	2446	3	-113.185	-1.01478	-112.17
0	0	9	5	930	19	-305.624	-0.06545	-305.559
0	0	9	6	354	19	-289.358	-0.333045	-289.025
0	0	10	0	930	17	-276.218	-1.0182	-275.199
0	0	10	1	357	20	-304.146	-1.33699	-302.809
0	0	10	2	1549	7	-146.666	-0.0856334	-146.581
0	0	10	3	2456	10	-216.389	0.0534288	-216.443
0	0	10	4	2446	3	-113.185	-1.65084	-111.534
0	0	10	5	930	19	-305.624	0.539348	-306.163
0	0	10	6	354	19	-289.358	0.514162	-289.872
0	0	11	0	930	17	-276.218	0.767067	-276.985
0	0	11	1	357	20	-304.146	0.587436	-304.733
0	0	11	2	1549	7	-146.666	-0.0553629	-146.611
0	0	11	3	2456	10	-216.389	0.616375	-217.006
0	0	11	4	2446	3	-113.185	0.0161338	-113.201
0	0	11	5	930	19	-305.624	0.687687	-306.312
0	0	11	6	354	19	-289.358	-0.521054	-288.837
0	0	12	0	930	17	-276.218	1.69544	-277.913
0	0	12	1	357	20	-304.146	1.01532	-305.161
0	0	12	2	1549	7	-146.666	1.03907	-147.705
0	0	12	3	2456	10	-216.389	-0.711417	-215.678
0	0	12	4	2446	3	-113.185	0.86594	-114.051
0	0	12	5	930	19	-305.624	-1.08062	-304.543
0	0	12	6	354	19	-289.358	-0.238889	-289.119
0	0	13	0	930	17	-276.218	-0.652044	-275.566
0	0	13	1	357	20	-304.146	0.379357	-304.525
0	0	13	2	1549	7	-146.666	-0.454875	-146.211
