P : 74634.9
Cargo :2,	z :0.0714286,	Path :2L7->4L7->4I9->4E10->4I11->4C12->4D14->4J16->4H18-><
Cargo :4,	z :0,	Path :2H27->3H27->3C36->3C37->3A42->3A43->2A44->2A45->6A45->6H47->6E48->6J49->6G50->6A51-><
Cargo :10,	z :0,	Path :2G20->3G20->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33->4D35-><
Cargo :10,	z :0,	Path :2G21->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33->4D35-><
Cargo :13,	z :1,	Path :2F23->3F23->3F24->2F25->2F26->2F27->2F28->2F29->3F29->3I37->3I38->3I39->3H41->3H42-><
Cargo :14,	z :1,	Path :2C14->3C14->3C15->3C16->3A21->3A22->3K29->3K30->3A37->3A38-><
Cargo :14,	z :0,	Path :2C21->3C21->3C22->3G41->3G42->3E44->3E45->2E46->2E47->2E48->6E48->6J49->6G50->6A51-><
Cargo :15,	z :1,	Path :2B23->3B23->3L31->3L32->2L33->4L33->4G35->4J36->4C38-><
Cargo :17,	z :1,	Path :2H4->5H4->5E17->5E18->2E19->2E20->2E21->3E21->3G24->3G25->3B27->3B28->3D44->3D45-><
Cargo :19,	z :0,	Path :2L11->3L11->3E22->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33->4D35-><
Cargo :19,	z :1,	Path :2L21->3L21->3B29->3B30->3J38->3J39->2J40->2J41->2J42->2J43->2J44->1J44->1D46-><
Cargo :20,	z :1,	Path :2G20->3G20->3G21->3E23->3E24->3C36->3C37->3A42->3A43->3K50->2K51->6K51->6F53-><
Cargo :28,	z :0,	Path :2G20->3G20->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33-><
Cargo :28,	z :0,	Path :2G21->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33-><
Cargo :33,	z :0,	Path :2K22->4K22->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33-><
Cargo :38,	z :0.805009,	Path :2F8->3F8->3I16->3I17->3E21->3G24->3G25->3B27->3B28->3D44->3D45-><
Cargo :38,	z :0.194991,	Path :2F24->3F24->3E35->3E36->3J47->2J48->2J49->2J50->2J51->4J51->4E52->4I53->4C54->4D56-><
Cargo :39,	z :1,	Path :2C21->3C21->3C22->3G41->3G42->3E44->3E45->2E46->2E47->6E47->6K49->6L50-><
Cargo :39,	z :0,	Path :2C21->3C21->3C22->3G41->3G42->2G43->2G44->2G45->4G45->4J46->4L48-><
Cargo :41,	z :0.606061,	Path :2F29->3F29->3I37->3I38->3I39->3H41->2H42->4H42->4B44->4D46->4J48->4H50-><
Cargo :41,	z :0.393939,	Path :2F23->3F23->3F24->2F25->2F26->2F27->2F28->2F29->3F29->3I37->3I38->3I39->3H41->3H42-><
Cargo :43,	z :0.727273,	Path :2J21->4J21->4L23->4G25->4J26->4C28->4J30->4E31->4I32->4C33->4D35->4J37->4C39->4L41-><
Cargo :46,	z :1,	Path :2L10->3L10->3L11->3E22->3E23->3E24->3C36->3F44->3F45->3E56->2E57->4E57->4I58-><
Cargo :46,	z :0,	Path :2L21->3L21->3B29->3B30->3J38->3J39->2J40->2J41->2J42->4J42->4L44->4G46->4I48-><
Cargo :46,	z :0,	Path :2L17->5L17->5L18->2L19->2L20->2L21->3L21->3B29->3B30->3J38->3J39->3I53->3I54-><
Cargo :47,	z :0,	Path :2F8->3F8->3I16->3I17->3E21->3E22->3H34->3H35->3B37->3B38->3J46->3J47-><
Cargo :47,	z :1,	Path :2F8->3F8->3I16->3I17->3E21->3E22->3H34->3H35->3B37->3B38->3J46->3J47->2J48->4J48-><
Cargo :47,	z :0,	Path :2F9->5F9->5K27->5K28->5A35->5A36->5E38->5E39->5H51->2H52->4H52->4B54->4D56->4J58-><
Cargo :50,	z :0.9375,	Path :2B8->3B8->3B9->3J17->3J18->3I32->3I33->2I34->4I34->4A35-><
Cargo :50,	z :0.0625,	Path :2B4->3B4->3K12->3K13->3F30->3F31->2F32->2F33->2F34->6F34->6J35->6G36->6A37-><
Cargo :51,	z :0.922622,	Path :2L21->3L21->3B29->3B30->3J38->3J39->2J40->2J41->2J42->4J42->4L44->4G46->4I48->4J50-><
Cargo :51,	z :0.0773783,	Path :2L44->4L44->4G46->4J47->4C49->4J51->4E52->4I53->4C54->4D56->4J58-><
